SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,INDEX
NSE,D,36469,OPTIDX,0,FINNIFTY-Jun2024-20900-PE,40.0,FINNIFTY 11 JUN 20900 PUT,2024-06-11,20900.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36533,OPTIDX,0,FINNIFTY-Jun2024-21250-CE,40.0,FINNIFTY 11 JUN 21250 CALL,2024-06-11,21250.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36534,OPTIDX,0,FINNIFTY-Jun2024-21250-PE,40.0,FINNIFTY 11 JUN 21250 PUT,2024-06-11,21250.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36536,OPTIDX,0,FINNIFTY-Jun2024-21300-CE,40.0,FINNIFTY 11 JUN 21300 CALL,2024-06-11,21300.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36989,OPTIDX,0,FINNIFTY-Jun2024-24300-PE,40.0,FINNIFTY 11 JUN 24300 PUT,2024-06-11,24300.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36985,OPTIDX,0,FINNIFTY-Jun2024-24350-PE,40.0,FINNIFTY 11 JUN 24350 PUT,2024-06-11,24350.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36983,OPTIDX,0,FINNIFTY-Jun2024-24350-CE,40.0,FINNIFTY 11 JUN 24350 CALL,2024-06-11,24350.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36970,OPTIDX,0,FINNIFTY-Jun2024-24300-CE,40.0,FINNIFTY 11 JUN 24300 CALL,2024-06-11,24300.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36968,OPTIDX,0,FINNIFTY-Jun2024-24200-PE,40.0,FINNIFTY 11 JUN 24200 PUT,2024-06-11,24200.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36963,OPTIDX,0,FINNIFTY-Jun2024-24200-CE,40.0,FINNIFTY 11 JUN 24200 CALL,2024-06-11,24200.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36923,OPTIDX,0,FINNIFTY-Jun2024-24100-PE,40.0,FINNIFTY 11 JUN 24100 PUT,2024-06-11,24100.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36576,OPTIDX,0,FINNIFTY-Jun2024-21700-CE,40.0,FINNIFTY 11 JUN 21700 CALL,2024-06-11,21700.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36575,OPTIDX,0,FINNIFTY-Jun2024-21650-PE,40.0,FINNIFTY 11 JUN 21650 PUT,2024-06-11,21650.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36570,OPTIDX,0,FINNIFTY-Jun2024-21650-CE,40.0,FINNIFTY 11 JUN 21650 CALL,2024-06-11,21650.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36559,OPTIDX,0,FINNIFTY-Jun2024-21600-PE,40.0,FINNIFTY 11 JUN 21600 PUT,2024-06-11,21600.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36558,OPTIDX,0,FINNIFTY-Jun2024-21600-CE,40.0,FINNIFTY 11 JUN 21600 CALL,2024-06-11,21600.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36557,OPTIDX,0,FINNIFTY-Jun2024-21550-PE,40.0,FINNIFTY 11 JUN 21550 PUT,2024-06-11,21550.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36556,OPTIDX,0,FINNIFTY-Jun2024-21550-CE,40.0,FINNIFTY 11 JUN 21550 CALL,2024-06-11,21550.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36555,OPTIDX,0,FINNIFTY-Jun2024-21500-PE,40.0,FINNIFTY 11 JUN 21500 PUT,2024-06-11,21500.0,PE,5.0,W,OP,,,FINNIFTY
